URL,Product Title,Translated Title,Option Name,Price,Screenshot Filename
https://item.taobao.com/item.htm?id=713575933395,战术背心通用型MOLLE系统手机导航面板包胸口PDA包户外多功能胸包,TRANSLATION FAILED,【考度拉】MC迷彩 CP迷彩,N/A,mollepda-mc-cp.png
https://item.taobao.com/item.htm?id=713575933395,战术背心通用型MOLLE系统手机导航面板包胸口PDA包户外多功能胸包,TRANSLATION FAILED,【考度拉】暗夜迷彩 BCP,N/A,mollepda--bcp.png
https://item.taobao.com/item.htm?id=713575933395,战术背心通用型MOLLE系统手机导航面板包胸口PDA包户外多功能胸包,TRANSLATION FAILED,【考度拉】黑色 BK,N/A,mollepda--bk.png
https://item.taobao.com/item.htm?id=713575933395,战术背心通用型MOLLE系统手机导航面板包胸口PDA包户外多功能胸包,TRANSLATION FAILED,【考度拉】狼灰色WG,N/A,mollepda-wg.png
https://item.taobao.com/item.htm?id=713575933395,战术背心通用型MOLLE系统手机导航面板包胸口PDA包户外多功能胸包,TRANSLATION FAILED,【考度拉】游骑兵绿色RG,N/A,mollepda-rg.png
https://item.taobao.com/item.htm?id=713575933395,战术背心通用型MOLLE系统手机导航面板包胸口PDA包户外多功能胸包,TRANSLATION FAILED,【考度拉】狼棕色CB,N/A,mollepda-cb.png
https://detail.tmall.com/item.htm?_u=e20bch12k1e660&id=823946437927&sku_properties=1627207%3A32508193330&spm=a1z09.2.0.0.1e892e8dUKanfh,儿童手雷玩具可爆炸水弹M67弹射烟雾手榴弹模型吃鸡男孩生日礼物,TRANSLATION FAILED,16手榴弹+空投箱,N/A,m67-16.png
https://detail.tmall.com/item.htm?_u=e20bch12k1e660&id=823946437927&sku_properties=1627207%3A32508193330&spm=a1z09.2.0.0.1e892e8dUKanfh,儿童手雷玩具可爆炸水弹M67弹射烟雾手榴弹模型吃鸡男孩生日礼物,TRANSLATION FAILED,8手榴弹+空投箱-绿,N/A,m67-8-.png
https://detail.tmall.com/item.htm?_u=e20bch12k1e660&id=823946437927&sku_properties=1627207%3A32508193330&spm=a1z09.2.0.0.1e892e8dUKanfh,儿童手雷玩具可爆炸水弹M67弹射烟雾手榴弹模型吃鸡男孩生日礼物,TRANSLATION FAILED,8手榴弹+空投箱-黑,N/A,m67-8-.png
https://detail.tmall.com/item.htm?_u=e20bch12k1e660&id=823946437927&sku_properties=1627207%3A32508193330&spm=a1z09.2.0.0.1e892e8dUKanfh,儿童手雷玩具可爆炸水弹M67弹射烟雾手榴弹模型吃鸡男孩生日礼物,TRANSLATION FAILED,4颗⭐(M26军绿+M67军绿+M18军绿+M24军绿),N/A,m67-4m26m67m18m24.png
